Колонка газова турбована,https://www.bazarok.ua/ru/obyavleniya/kolonka-hazova-turbovana-709572769.html
"продаж 2-к квартира Київ, Дарницький, 115000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-darnytskyi-115000-$-709572079.html
"довгострокова оренда 1-к квартира Київ, Голосіївський, 15000 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-1-k-kvartyra-kyiv-holosiivskyi-15000-hrn-mis-709571682.html
Аварійне відновлення освітлення,https://www.bazarok.ua/ru/obyavleniya/avariine-vidnovlennia-osvitlennia-680780481.html
Проведення ремонтного електромонтажу,https://www.bazarok.ua/ru/obyavleniya/provedennia-remontnoho-elektromontazhu-709571900.html
Встановлення ПЗВ та автоматів,https://www.bazarok.ua/ru/obyavleniya/vstanovlennia-pzv-ta-avtomativ-680782045.html
Заміна пробок на автомати та ПЗВ,https://www.bazarok.ua/ru/obyavleniya/zamina-probok-na-avtomaty-ta-pzv-709571901.html
Монтаж подвійної внутрішньої розетки,https://www.bazarok.ua/ru/obyavleniya/montazh-podviinoi-vnutrishnoi-rozetky-709571902.html
Монтаж подвійної внутрішньої євро-розетки,https://www.bazarok.ua/ru/obyavleniya/montazh-podviinoi-vnutrishnoi-ievro-rozetky-709571898.html
Оренда салону краси,https://www.bazarok.ua/ru/obyavleniya/orenda-salonu-krasy-638012723.html
Монтаж реле напруги,https://www.bazarok.ua/ru/obyavleniya/montazh-rele-napruhy-680782311.html
Телевізор HITACHI,https://www.bazarok.ua/ru/obyavleniya/televizor-hitachi-709572768.html
"довгострокова оренда торгові площі Київ, Шевченківський, 1600 $/міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-torhovi-ploshchi-kyiv-shevchenkivskyi-1600-$-mis-20-709572767.html
"продаж 3-к квартира Київ, Шевченківський, 69000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-shevchenkivskyi-69000-$-7-709572766.html
"продаж 2-к квартира Київ, Оболонський, 47000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-obolonskyi-47000-$-6-709572765.html
"продаж 10-к будинок Хустський, Хуст, 150000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-10-k-budynok-khustskyi-khust-150000-$-30-709572764.html
"довгострокова оренда торгові площі Київ, Подільський, 50625 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-torhovi-ploshchi-kyiv-podilskyi-50625-hrn-mis-12-709572763.html
"продаж 3-к квартира Київ, Печерський, 300000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-3-k-kvartyra-kyiv-pecherskyi-300000-$-15-709572762.html
"продаж 2-к квартира Київ, Подільський, 58000 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-2-k-kvartyra-kyiv-podilskyi-58000-$-14-709572761.html
Оренда 2-х кімнатної квартири Люблинець,https://www.bazarok.ua/ru/obyavleniya/orenda-2-kh-kimnatnoi-kvartyry-liublynets-709572759.html
"довгострокова оренда офісна будівля Хмельницький, 19950 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-ofisna-budivlia-khmelnytskyi-19950-hrn-mis-709571018.html
"довгострокова оренда офісне приміщення Хмельницький, 90000 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-ofisne-prymishchennia-khmelnytskyi-90000-hrn-mis-2-709572758.html
"продаж 4-к квартира Київ, Дарницький, 81900 $",https://www.bazarok.ua/ru/obyavleniya/prodazh-4-k-kvartyra-kyiv-darnytskyi-81900-$-4-709572757.html
Перепустка до гуртожитку,https://www.bazarok.ua/ru/obyavleniya/perepustka-do-hurtozhytku-709572756.html
"довгострокова оренда кімната Київ, Деснянський, 5499 грн./міс.",https://www.bazarok.ua/ru/obyavleniya/dovhostrokova-orenda-kimnata-kyiv-desnianskyi-5499-hrn-mis-709572754.html
Кросовки New Balance 608,https://www.bazarok.ua/ru/obyavleniya/krosovki-new-balance-608-709572753.html
